Inference for Bugs model at "growth-increment.jags", fit using jags,
 5 chains, each with 6000 iterations (first 1000 discarded)
 n.sims = 25000 iterations saved
                     mu.vect sd.vect    2.5%     25%     50%     75%   97.5%  Rhat n.eff
mu.year.indiv[10,4]    0.986   0.068   0.853   0.940   0.987   1.032   1.120 1.001 25000
mu.year.indiv[11,4]    1.185   0.068   1.051   1.139   1.186   1.231   1.319 1.001  6900
mu.year.indiv[12,4]    0.942   0.069   0.805   0.896   0.942   0.988   1.077 1.001 25000
mu.year.indiv[13,4]    1.017   0.067   0.887   0.971   1.016   1.061   1.149 1.001 25000
mu.year.indiv[14,4]    1.294   0.068   1.160   1.248   1.294   1.340   1.426 1.001 25000
mu.year.indiv[15,4]    0.548   0.069   0.413   0.501   0.547   0.594   0.684 1.001 25000
mu.year.indiv[16,4]    1.395   0.066   1.267   1.351   1.395   1.439   1.525 1.001 15000
mu.year.indiv[17,4]    0.982   0.067   0.851   0.937   0.981   1.027   1.114 1.001 25000
mu.year.indiv[18,4]    1.327   0.066   1.199   1.283   1.327   1.371   1.455 1.001 25000
mu.year.indiv[19,4]    0.874   0.064   0.750   0.831   0.874   0.918   1.000 1.001 16000
mu.year.indiv[20,4]    1.155   0.063   1.033   1.113   1.155   1.197   1.280 1.001 16000
mu.year.indiv[21,4]    0.526   0.084   0.362   0.469   0.526   0.583   0.690 1.001 12000
mu.year.indiv[22,4]    0.941   0.063   0.816   0.898   0.940   0.983   1.064 1.001 15000
mu.year.indiv[23,4]    1.058   0.069   0.923   1.011   1.058   1.104   1.192 1.001 25000
mu.year.indiv[24,4]    1.103   0.069   0.967   1.056   1.102   1.150   1.237 1.001 18000
mu.year.indiv[25,4]    0.544   0.068   0.411   0.499   0.544   0.589   0.676 1.001 20000
mu.year.indiv[26,4]    1.175   0.067   1.045   1.130   1.175   1.220   1.306 1.001 25000
mu.year.indiv[27,4]    1.006   0.067   0.875   0.961   1.006   1.051   1.137 1.001 19000
mu.year.indiv[28,4]    1.118   0.065   0.992   1.074   1.117   1.162   1.245 1.001 25000
mu.year.indiv[29,4]    1.393   0.067   1.262   1.349   1.393   1.438   1.525 1.001 25000
mu.year.indiv[30,4]    0.364   0.068   0.229   0.318   0.364   0.410   0.498 1.001 15000
mu.year.indiv[31,4]    0.987   0.060   0.868   0.947   0.987   1.028   1.105 1.001 25000
mu.year.indiv[32,4]    0.741   0.066   0.613   0.697   0.741   0.785   0.872 1.001 20000
mu.year.indiv[1,5]     0.987   0.070   0.849   0.940   0.988   1.034   1.123 1.001 23000
mu.year.indiv[2,5]     0.995   0.067   0.864   0.950   0.995   1.040   1.126 1.001 25000
mu.year.indiv[3,5]     0.808   0.065   0.680   0.764   0.808   0.852   0.936 1.001 25000
mu.year.indiv[4,5]     1.000   0.070   0.865   0.954   1.000   1.048   1.137 1.001 25000
mu.year.indiv[5,5]     1.154   0.071   1.017   1.107   1.154   1.202   1.291 1.001 25000
mu.year.indiv[6,5]     0.990   0.068   0.855   0.943   0.990   1.036   1.124 1.001 25000
mu.year.indiv[7,5]     0.962   0.065   0.833   0.917   0.962   1.006   1.089 1.001 25000
mu.year.indiv[8,5]     0.744   0.069   0.609   0.699   0.744   0.791   0.879 1.001 25000
mu.year.indiv[9,5]     0.869   0.058   0.756   0.830   0.868   0.908   0.982 1.001 25000
mu.year.indiv[10,5]    0.970   0.068   0.836   0.925   0.970   1.016   1.103 1.001 25000
mu.year.indiv[11,5]    1.169   0.068   1.036   1.123   1.169   1.215   1.303 1.001 25000
mu.year.indiv[12,5]    0.926   0.069   0.789   0.880   0.926   0.972   1.061 1.001 25000
mu.year.indiv[13,5]    1.000   0.067   0.870   0.955   1.001   1.045   1.133 1.001 25000
mu.year.indiv[14,5]    1.278   0.068   1.144   1.232   1.277   1.323   1.411 1.001 18000
