plot,Tree number,Species,X coord,Y coord,T1_DBH,Tree CX code,Leaf Cx,Leaf Density,Stem,Insects,Meristem,T2_DBH,Tree height,,,
147,0-8-101,ABCO,20,13,23,LF,2,2,1,2,2,23.7,18.31,,,
147,1350,PIPO,30.8,32,15.3,LF,1,2,1,0,2,15.8,11.55,,,
147,1358,PIPO,29,29,29.7,LF,1,1,2,0,0,30.2,10.19,,,
147,1370,PIFL,29.1,32.1,5.9,LP,,,,,,,,,,DSF
147,1446,PIFL,26.2,31,6.6,LG,2,2,2,2,2,10.1,6.88,,,
147,1493,PIPO,27.8,31.7,19.8,LF,0,0,2,2,0,20.1,9.03,,,
147,1494,PIPO,29.1,26.3,41.6,DSL,,,,,,,,,,DSL
147,1704,PIPO,28.8,42.6,61.1,LG,,,,,,,,,,DSF
147,251,pipo,50,48,66.3,LG,2,2,2,2,1,65.8,24.64,,,
147,342,PIPO,1,10.6,59.9,LF,1,1,1,2,2,59.6,29.94,,,
147,344,PIPO,10.9,0.9,33.4,LF,1,1,1,2,1,33.1,20.57,,,
147,346,PIPO,16.4,1.5,25.9,LF,2,1,1,2,2,26,19.17,,,
147,347,PIPO,17.4,3,40.1,DSL,,,,,,,,,,DSL
147,348,PSME,23.8,8.4,24.1,LG,2,2,2,2,2,27.8,19.74,,,
147,349,PIPO,22.6,0.2,38,LG,2,2,1,2,2,38.6,25.29,,,
147,351,PSME,21.6,11.9,20.2,LF,2,1,1,2,2,22.2,20.43,,,
147,352,PIPO,32.1,1.6,45,LG,2,2,2,2,2,46.1,29.33,,,
147,353,PIPO,30.8,1.1,26.2,LF,2,2,1,2,1,26.3,14.29,,,
147,354,ABCO,39.3,10,32.4,LE,2,2,2,2,2,36.1,19.27,,,
147,355,PSME,46.1,12.7,32.2,LE,2,2,2,2,2,35.8,20.71,,,
147,356,PIPO,49.5,7,25.2,LF,2,1,1,2,2,26.8,17.4,,,
147,358,PIPO,45.3,0.2,30,2,2,1,1,2,1,30.3,13.85,,,
147,984,PIPO,44.5,34.7,56.7,LE,1,2,2,0,2,57.2,25.5,,,
147,985,PIPO,36,17,47,LG,2,1,2,2,2,48.3,27.85,,,
147,986,PIPO,36.6,26.5,26.5,LG,2,1,2,0,2,28.2,15.19,,,
147,988,PIPO,31.3,20.1,37.4,LF,1,1,2,2,0,37.4,21.13,,,
147,989,PIPO,28.2,21.4,45.6,LF,2,2,1,2,2,46.6,25.09,,,
147,990,PIPO,30.1,21.8,28.1,LF,1,1,1,0,1,28.1,23.06,,,
