plot,Tree number,Species,X coord,Y coord,T1_DBH,T1_BasalArea,Tree CX code,Leaf Cx,Leaf Density,Stem,Insects,Meristem,T2_DBH,T2_BasalArea,Tree height,DBH_inc,,
125,1121,PIPO,18.5,16.1,19.3,292.5527148,LG,,,,,,,0,,,,
125,1133,PIPO,15.8,25.2,28,615.75164,LG,2,2,1.5,2,2,32.1,809.281438,17.26,4.1,,
125,1142,PIPO,22.7,22.1,21.6,366.4350576,LG,2,2,1,2,2,25.6,514.7181056,14.7,4,,
125,1145,PIPO,24.8,24.4,20.6,333.2912831,LG,0,0,1,0,0,25.2,498.7588284,13.19,4.6,,
125,1149,PIPO,4,0.3,31.8,794.2253679,LP,2,1,1,2,0,32.8,844.9620464,18.84,1,,
125,1166,PIPO,12,2.2,45.2,1604.598508,LG,2,2,2,2,2,46.8,1720.20902,28.42,1.6,,
125,1167,PIPO,12.5,1.8,40.9,1313.820792,LP,0.5,0.5,0.5,2,1,41.3,1339.644662,22.69,0.4,,
125,1245,PIPO,47.4,14.4,25.5,510.7047244,LG,2,2,1,2,2,31.2,764.5373424,16.37,5.7,,
125,1248,PIPO,29.6,49.5,54.8,2358.580108,LF,2,1.5,2,2,2,53.7,2264.842917,23.91,-1.1,,
125,1252,PIPO,42.9,41.4,58.1,2651.195655,LE,2,2,2,2,2,60,2827.431,23.74,1.9,,
125,1255,PIPO,4.2,39.1,35.5,989.7971994,DSF,,,,,,,0,,,,
125,1269,PIPO,4.6,42.2,29,660.5192975,LG,,,,,,,0,,,,
125,1279,PIPO,2.3,43.6,25,490.8734375,LG,,,,,,,0,,,,
125,1282,PIPO,14,14.5,29.8,697.4643959,LG,2,2,2,2,2,33.8,897.2695199,18.74,4,,
125,1283,PIPO,10.7,23,27.6,598.2843996,LG,2,1,1,2,2,30.5,730.6160244,17.82,2.9,,
125,1284,PIPO,9.8,17.6,28.4,633.4702076,LF,,,,,,,0,,,,
125,1285,PIPO,0.7,18.7,28,615.75164,LE,,,,,,,0,,,,
125,1286,PIPO,5,18,28.5,637.9391194,LG,,,,,,,0,,,,
125,1287,PIPO,0.2,30.2,27.6,598.2843996,LE,2,1,1,2,2,34.4,929.4079856,18.35,6.8,,
125,1288,PIPO,0.6,32.6,29,660.5192975,LE,2,2,2,2,2,33.4,876.1580351,18.6,4.4,,
125,1289,PIPO,10.8,30.1,29.1,665.082457,LG,2,2,2,2,2,33.3,870.9194338,17.12,4.2,,
125,1291,PIPO,31.9,15.4,46.5,1698.225744,LG,2,1,1.5,2,1,47,1734.943078,23.73,0.5,,
125,1292,PIPO,31.6,18.9,39,1194.589598,LG,2,2,1.5,2,2,42.2,1398.667284,21.97,3.2,,
125,1293,PIPO,29,23.1,53,2206.181578,LE,2,2,2,2,2,54,2290.21911,21.16,1,,
125,1294,PIPO,35.8,26.2,42,1385.44119,LG,2,2,2,2,2,45.1,1597.506369,19.28,3.1,,
125,1295,PIPO,35,21.4,27.7,602.6276478,LG,2,2,1,2,2,30.1,711.577989,17.5,2.4,,
125,1296,PIPO,34.9,15.6,31.1,759.644316,LG,2,2,1,2,2,32.9,850.122108,16.86,1.8,,
125,1297,PIPO,39.8,14.9,28.3,629.0170038,LG,2,2,1,2,1,30.4,725.8329536,15.58,2.1,,
125,1298,PIPO,44.3,21.4,38.8,1182.368812,LF,2,2,1,2,0,41,1320.253198,15.31,2.2,,
125,1606,PIPO,17,33,59.1,2743.244242,LG,2,2,2,2,2,58.9,2724.708861,20.66,-0.2,,
125,1607,PIPO,10.1,37.8,36.2,1029.2163,LG,2,1,1,2,2,37,1075.209178,21.54,0.8,,
125,1608,PIPO,28.5,34.9,32.4,824.4788796,LE,2,1.5,1,2,2,35.3,978.6759708,16.97,2.9,,
125,3000,PIPO,35.3,1.6,26.8,564.1039004,LF,2,2,2,2,2,29.9,702.153219,16.29,3.1,,
127,2001,PIPO,29.9,11.7,60.6,2884.262363,,,,,,,,0,,,,
127,2003,PIPO,23.4,1.2,49.1,1893.444147,,2,2,2,2,2,52.1,2131.890828,28.11,3,,
127,2004,PIPO,23.8,11.3,36.5,1046.345819,,2,1,1,2,2,39.2,1206.873214,23.32,2.7,,
127,2005,PIPO,24,11.3,26.9,568.321485,,2,2,1,2,1,29.2,669.6613244,21.87,2.3,,
127,2012,PIPO,18.2,15.4,43.6,1493.009232,,1,2,1,2,2,46.1,1669.134621,24.42,2.5,,
127,2013,PIPO,39,27.6,29.8,697.4643959,,2,1,1,2,2,31.6,784.2665276,22.48,1.8,,DFI
127,2014,PIPO,41,25,28.8,651.4401024,,2,2,1,2,2,31,754.7669975,20.88,2.2,,DSB
127,2019,PIPO,45.9,21.5,25.1,494.808279,,2,1,1,2,2,26.3,543.2515968,19.19,1.2,,DSF
127,2023,PIPO,48,33.4,49.5,1924.420224,,1,2,1,2,2,50.5,2002.959974,20.47,1,,missing
127,2024,PIPO,39.5,31.5,67.6,3589.07808,,,,,,,,0,,,,missing
